circuit,grid,cube_steps,conn_steps,conn_minus_cube_pct,dnr,nr_equal,winner
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,29,142.0,,,,,conn_untested_high
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,28,143.0,,,,,conn_untested_high
vqe_real_amp_n10,8,13.0,13.0,0.0,0.0,True,tie
vqe_real_amp_n100,23,103.0,103.0,0.0,0.0,True,tie
vqe_real_amp_n20,9,23.0,23.0,0.0,0.0,True,tie
vqe_real_amp_n30,12,33.0,33.0,0.0,0.0,True,tie
vqe_real_amp_n40,15,43.0,43.0,0.0,0.0,True,tie
vqe_real_amp_n50,16,53.0,53.0,0.0,0.0,True,tie
vqe_real_amp_n60,18,63.0,63.0,0.0,0.0,True,tie
vqe_real_amp_n70,18,73.0,73.0,0.0,0.0,True,tie
vqe_real_amp_n80,20,83.0,83.0,0.0,0.0,True,tie
vqe_real_amp_n90,20,93.0,93.0,0.0,0.0,True,tie
vqe_su2_n10,8,13.0,13.0,0.0,0.0,True,tie
vqe_su2_n100,23,103.0,103.0,0.0,0.0,True,tie
vqe_su2_n20,9,23.0,23.0,0.0,0.0,True,tie
vqe_su2_n30,12,33.0,33.0,0.0,0.0,True,tie
vqe_su2_n40,15,43.0,43.0,0.0,0.0,True,tie
vqe_su2_n50,16,53.0,53.0,0.0,0.0,True,tie
vqe_su2_n60,18,63.0,63.0,0.0,0.0,True,tie
vqe_su2_n70,18,73.0,73.0,0.0,0.0,True,tie
vqe_su2_n80,20,83.0,83.0,0.0,0.0,True,tie
vqe_su2_n90,20,93.0,93.0,0.0,0.0,True,tie
vqe_two_local_n10,12,37.0,37.0,0.0,0.0,True,tie
vqe_two_local_n100,34,1419.0,,,,,conn_untested_high
vqe_two_local_n20,23,84.0,,,,,conn_untested_high
vqe_two_local_n30,25,164.0,,,,,conn_untested_high
vqe_two_local_n40,27,261.0,,,,,conn_untested_high
vqe_two_local_n50,27,392.0,,,,,conn_untested_high
vqe_two_local_n60,29,521.0,,,,,conn_untested_high
vqe_two_local_n70,28,798.0,798.0,0.0,0.0,True,tie
vqe_two_local_n80,30,1005.0,,,,,conn_untested_high
vqe_two_local_n90,30,1269.0,1269.0,0.0,0.0,True,tie
wstate_n10,8,11.0,11.0,0.0,0.0,True,tie
wstate_n100,22,101.0,101.0,0.0,0.0,True,tie
wstate_n20,9,21.0,21.0,0.0,0.0,True,tie
wstate_n27,12,28.0,28.0,0.0,0.0,True,tie
wstate_n30,12,31.0,31.0,0.0,0.0,True,tie
wstate_n40,15,41.0,41.0,0.0,0.0,True,tie
wstate_n50,16,51.0,51.0,0.0,0.0,True,tie
wstate_n60,18,61.0,61.0,0.0,0.0,True,tie
wstate_n70,18,71.0,71.0,0.0,0.0,True,tie
wstate_n80,20,81.0,81.0,0.0,0.0,True,tie
wstate_n90,20,91.0,91.0,0.0,0.0,True,tie
