circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
ising_n175,175,28,40,6,4,33.33,True,30,False,0.0,30,False,0.0,30,False,0.0
qaoa_n175,175,30,42,3334,2463,26.12,True,37,False,52.773,33,False,53.827,33,False,53.827
qft_n175,175,28,41,1196,1102,7.86,True,30,False,25.502,29,False,27.462,28,False,30.319
vqe_real_amp_n175,175,28,40,179,178,0.56,False,28,False,0.192,28,False,0.192,28,False,0.192
vqe_su2_n175,175,28,40,179,178,0.56,False,28,False,0.192,28,False,0.192,28,False,0.192
vqe_two_local_n175,175,31,43,4384,3411,22.19,True,41,False,68.504,39,False,69.382,34,False,67.891
wstate_n175,175,28,40,176,176,0.0,False,28,False,0.0,28,False,0.0,28,False,0.0
ghz_n200,200,29,42,199,199,0.0,False,29,False,0.0,29,False,0.0,29,False,0.0
graphstate_n200,200,30,42,6,6,0.0,False,30,False,7.5,30,False,7.5,30,False,7.5
ising_n200,200,29,42,8,4,50.0,True,34,False,0.0,34,False,0.0,34,False,0.0
qaoa_n200,200,33,44,3882,3057,21.25,True,41,False,55.355,36,False,55.873,35,False,55.964
qft_n200,200,29,43,1644,1322,19.59,True,31,False,29.617,31,False,29.617,30,False,31.319
synth_n200_d020_mix000_t030_hf000_hm001_r2_s1,200,36,46,749,564,24.7,True,40,False,36.065,40,False,36.065,38,False,38.37
synth_n200_d020_mix000_t030_hf000_hm001_r2_s0,200,36,46,812,544,33.0,True,46,True,30.217,46,True,30.217,43,False,33.814
synth_n200_d020_mix050_t030_hf000_hm001_r2_s0,200,36,47,870,649,25.4,True,40,False,37.534,40,False,37.534,40,False,37.534
synth_n200_d020_mix050_t030_hf000_hm001_r2_s1,200,36,47,884,635,28.17,True,40,False,36.224,40,False,36.224,39,False,36.795
synth_n200_d020_mix100_t030_hf000_hm001_r2_s0,200,36,47,859,638,25.73,True,39,False,36.54,39,False,36.54,39,False,36.54
synth_n200_d020_mix100_t030_hf000_hm001_r2_s1,200,36,47,883,634,28.2,True,40,False,37.156,40,False,37.156,40,False,37.156
synth_n200_d040_mix000_t030_hf000_hm001_r2_s0,200,34,46,1812,1227,32.28,True,40,False,35.602,38,False,37.247,38,False,37.247
synth_n200_d040_mix000_t030_hf000_hm001_r2_s1,200,35,47,1706,1215,28.78,True,40,False,35.615,38,False,37.071,38,False,37.071
synth_n200_d040_mix050_t030_hf000_hm001_r2_s0,200,33,46,1856,1276,31.25,True,39,False,36.31,38,False,37.392,38,False,37.392
synth_n200_d040_mix050_t030_hf000_hm001_r2_s1,200,35,47,1708,1239,27.46,True,40,False,35.264,38,False,36.46,38,False,36.46
synth_n200_d040_mix100_t030_hf000_hm001_r2_s0,200,35,47,1779,1286,27.71,True,39,False,37.106,38,False,37.814,38,False,37.814
vqe_real_amp_n200,200,29,42,205,203,0.98,False,29,False,0.335,29,False,0.335,29,False,0.335
vqe_su2_n200,200,29,42,205,203,0.98,False,29,False,0.335,29,False,0.335,29,False,0.335
synth_n200_d040_mix100_t030_hf000_hm001_r2_s1,200,35,47,1688,1291,23.52,True,38,False,37.647,38,False,37.647,38,False,37.647
wstate_n200,200,29,42,202,201,0.5,False,29,False,0.251,29,False,0.251,29,False,0.251
vqe_two_local_n200,200,33,45,5443,4371,19.7,True,41,False,69.697,39,False,71.134,35,False,69.364
ghz_n255,255,36,45,254,254,0.0,False,36,False,0.0,36,False,0.0,36,False,0.0
ghz_state_n255,255,36,45,254,254,0.0,False,36,False,0.0,36,False,0.0,36,False,0.0
cat_n260,260,36,46,259,259,0.0,False,36,False,0.0,36,False,0.0,36,False,0.0
ghz_n300,300,37,48,299,299,0.0,False,37,False,0.0,37,False,0.0,37,False,0.0
graphstate_n300,300,38,48,9,9,0.0,False,38,False,4.333,38,False,4.333,38,False,4.333
ising_n300,300,37,48,9,4,55.56,True,42,False,0.0,42,False,0.0,42,False,0.0
qft_n300,300,36,48,2093,1992,4.83,False,40,False,29.672,37,False,30.276,36,False,31.598
qaoa_n300,300,40,50,7748,6203,19.94,True,44,False,61.996,43,False,62.401,42,False,62.328
vqe_real_amp_n300,300,37,48,305,303,0.66,False,37,False,0.223,37,False,0.223,37,False,0.223
vqe_su2_n300,300,37,48,305,303,0.66,False,37,False,0.223,37,False,0.223,37,False,0.223
wstate_n300,300,37,48,302,301,0.33,False,37,False,0.167,37,False,0.167,37,False,0.167
vqe_two_local_n300,300,41,51,10548,8862,15.98,True,48,False,74.893,47,False,75.697,43,False,74.661
qft_n320,320,42,49,9076,7461,17.79,True,48,False,75.035,44,False,74.313,43,False,74.62
ghz_n400,400,44,53,399,399,0.0,False,44,False,0.0,44,False,0.0,44,False,0.0
graphstate_n400,400,42,53,8,7,12.5,True,43,False,6.5,43,False,6.5,43,False,6.5
ising_n400,400,44,53,7,4,42.86,True,47,False,0.0,47,False,0.0,47,False,0.0
qft_n400,400,41,53,2886,2679,7.17,True,42,False,29.679,42,False,29.679,41,False,32.182
vqe_real_amp_n400,400,44,53,403,403,0.0,False,44,False,0.0,44,False,0.0,44,False,0.0
vqe_su2_n400,400,44,53,403,403,0.0,False,44,False,0.0,44,False,0.0,44,False,0.0
qaoa_n400,400,50,55,10308,10097,2.05,False,55,True,64.861,50,False,65.398,50,False,65.398
wstate_n400,400,44,53,401,401,0.0,False,44,False,0.0,44,False,0.0,44,False,0.0
ising_n420,420,44,54,7,4,42.86,True,47,False,0.0,47,False,0.0,47,False,0.0
adder_n433,433,47,54,253,249,1.58,False,47,False,3.799,47,False,3.799,47,False,3.799
