circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
multiplier_n15,9,4,18,12,12,0.0,False,4,False,0.0,4,False,0.0,4,False,0.0
qpe_n9_transpiled,9,5,19,42,42,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
qram_n20,9,5,18,8,8,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
ghz_n10,10,5,19,9,9,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
graphstate_n10,10,5,19,4,4,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
grover_n10,10,6,20,11127,11008,1.07,False,6,False,1.911,6,False,1.911,6,False,1.911
hhl_n10,10,6,19,72043,72039,0.01,False,6,False,0.003,6,False,0.003,6,False,0.003
ising_n10,10,5,19,4,4,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
qaoa_n10,10,6,19,50,46,8.0,True,7,False,0.0,7,False,0.0,6,False,12.5
qft_n10,10,5,19,52,34,34.62,True,8,False,0.0,8,False,0.0,8,False,0.0
vqe_real_amp_n10,10,5,19,13,13,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
vqe_su2_n10,10,5,19,13,13,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
vqe_two_local_n10,10,5,19,72,38,47.22,True,13,False,0.741,9,False,1.482,8,False,2.222
wstate_n10,10,5,19,11,11,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
seca_n11,11,5,19,20,19,5.0,True,6,False,0.0,6,False,0.0,5,False,5.556
square_root_n18,14,5,20,27,27,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
factor247_n15,15,7,22,378652,349644,7.66,True,8,False,0.864,8,False,0.864,7,False,6.054
dnn_n16,16,5,20,48,48,0.0,False,5,False,0.0,5,False,0.0,5,False,0.0
bigadder_n18_transpiled,18,7,21,90,88,2.22,False,8,False,0.0,7,False,6.154,7,False,6.154
qft_n18,18,7,21,142,70,50.7,True,12,False,3.268,12,False,3.268,10,False,8.17
19qubits_511gate_153layers,19,7,22,108,100,7.41,True,10,False,1.639,8,False,4.918,7,False,12.022
19qubits_521gate_352layers,19,7,22,291,286,1.72,False,7,False,4.706,7,False,4.706,7,False,4.706
ghz_n20,20,7,21,19,19,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
graphstate_n20,20,7,21,4,4,0.0,False,7,False,5.0,7,False,5.0,7,False,5.0
ising_n20,20,7,21,4,4,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
multiplier_n20,20,8,23,4034,3990,1.09,False,8,False,1.339,8,False,1.339,8,False,1.339
grover_n20,20,8,20,2219760,2146489,3.3,False,9,False,0.226,8,False,4.465,8,False,4.465
parallel_big,20,7,21,8,8,0.0,False,7,False,0.0,7,False,0.0,7,False,0.0
qaoa_n20,20,8,22,138,92,33.33,True,12,False,5.435,11,False,6.522,10,False,9.783
qft_20,20,7,22,231,82,64.5,True,12,False,6.316,11,False,10.526,10,False,12.368
